Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Victor Moses,ng NGA,"DF,MF",Chelsea,26,1990,23.4,815,1122,72.6,13255,3497,429,498,86.1,286,393,72.8,72,136,52.9,3,2.4,2.5,+0.6,20,26,24,10,66,37,58.3,21,13,3,14,24,10,29,4,25,15,52,39,2,Matches,1122,920,197,3,2,5,90,194,0,0,0,0,815,5,46,3,0,0,23,27,9,90,15,29,1,0,0,143,28,41,40.6,England
Victor Wanyama,ke KEN,MF,Tottenham,26,1991,9.4,540,623,86.7,9771,2741,243,266,91.4,227,256,88.7,65,84,77.4,0,0.2,0.4,-0.2,5,64,0,0,65,30,45.2,13,16,1,14,31,17,13,3,10,10,40,20,1,Matches,623,610,11,8,1,5,2,2,0,0,0,0,540,2,7,2,0,0,13,9,0,2,10,20,0,0,0,78,17,15,53.1,England
Vincent Janssen,nl NED,DF,Tottenham,23,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,England
Vincent Kompany,be BEL,DF,Manchester City,31,1986,15.5,1327,1434,92.5,24734,8914,506,534,94.8,671,709,94.6,129,164,78.7,1,0.5,0.6,+0.5,4,94,2,0,85,20,68.4,14,5,1,13,19,6,10,8,2,16,36,73,1,Matches,1434,1416,17,13,1,9,0,4,0,0,0,0,1327,1,1,6,0,0,18,1,0,0,16,11,0,0,0,91,42,12,77.8,England
Virgil van Dijk,nl NED,DF,Liverpool,26,1991,14.0,1023,1140,89.7,20881,7404,295,317,93.1,577,613,94.1,136,191,71.2,0,1.2,0.8,-1.2,5,61,2,0,82,15,80.0,7,7,1,4,5,1,8,2,6,18,33,80,1,Matches,1140,1119,20,18,2,8,0,2,0,0,0,0,1023,1,2,1,0,0,8,11,0,0,18,8,0,1,0,69,77,29,72.6,England
Virgil van Dijk,nl NED,DF,Southampton,26,1991,11.0,544,638,85.3,10773,3485,176,194,90.7,297,321,92.5,64,107,59.8,0,1.0,1.3,-1.0,3,27,2,0,42,10,66.7,6,2,2,2,3,1,14,13,1,29,39,81,1,Matches,638,615,20,19,1,13,1,1,0,0,0,0,544,3,1,0,0,0,6,10,0,1,29,7,0,1,0,71,60,21,74.1,England
Wayne Hennessey,wls WAL,GK,Crystal Palace,30,1987,27.0,409,787,52.0,17667,16033,34,34,100.0,119,122,97.5,256,625,41.0,0,0.5,0.3,-0.5,1,27,1,0,0,0,,0,0,0,0,0,0,1,0,1,2,2,5,1,Matches,787,451,330,103,0,0,0,0,0,0,0,0,409,6,0,1,0,0,0,2,0,0,2,0,0,0,0,21,8,0,100.0,England
Wayne Rooney,eng ENG,"MF,FW",Everton,31,1985,25.2,934,1241,75.3,17847,4680,398,474,84.0,348,410,84.9,150,263,57.0,2,2.2,3.4,-0.2,33,117,26,6,122,28,23.8,11,13,4,10,42,32,25,6,19,16,44,43,2,Matches,1241,1140,94,37,9,23,62,10,30,13,13,3,934,7,27,5,0,0,35,18,8,62,16,19,0,1,0,154,25,32,43.9,England
Wayne Routledge,eng ENG,"MF,FW",Swansea City,32,1985,4.8,115,177,65.0,1676,481,58,71,81.7,46,64,71.9,5,19,26.3,0,0.4,0.7,-0.4,6,8,6,3,17,10,25.0,2,6,2,2,8,6,5,0,5,2,12,5,0,Matches,177,171,5,0,0,0,15,1,3,2,0,0,115,1,9,1,0,0,9,0,0,15,2,5,0,0,0,28,5,8,38.5,England
Wes Morgan,jm JAM,DF,Leicester City,33,1984,31.3,741,918,80.7,13008,5208,317,369,85.9,331,401,82.5,67,110,60.9,0,0.4,0.2,-0.4,5,29,3,0,50,35,66.7,26,8,1,12,18,6,41,27,14,31,66,146,1,Matches,918,901,13,12,0,2,0,1,0,0,0,0,741,4,4,4,0,0,31,12,1,0,31,25,0,0,0,99,91,57,61.5,England
Wesley Hoedt,nl NED,DF,Southampton,23,1994,28.0,1053,1352,77.9,22333,9239,350,394,88.8,515,608,84.7,179,319,56.1,1,0.5,0.3,+0.5,9,118,5,1,143,60,59.0,48,12,0,36,61,25,32,17,15,40,100,177,2,Matches,1352,1282,64,47,1,43,6,17,0,0,0,0,1053,6,11,7,0,0,22,15,0,6,40,51,0,1,0,200,61,50,55.0,England
