Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Bruno Gaspar,ao ANG,DF,Fiorentina,24,1993,8.7,469,580,80.9,7728,2690,214,232,92.2,203,249,81.5,36,64,56.3,2,0.8,0.8,+1.2,10,35,12,6,52,20,60.0,13,6,1,9,15,6,8,1,7,9,29,25,0,Matches,580,467,113,7,0,1,36,106,0,0,0,0,469,0,18,2,0,0,9,9,1,36,9,11,0,0,0,35,7,8,46.7,Italy
Bruno Martella,it ITA,DF,Crotone,24,1992,29.1,946,1378,68.7,16347,8793,462,567,81.5,367,517,71.0,102,228,44.7,3,2.1,2.0,+0.9,18,105,28,18,126,30,40.0,19,7,4,12,30,18,22,9,13,48,78,151,1,Matches,1378,1042,324,11,0,7,117,312,1,1,0,0,946,12,53,3,0,0,7,7,1,117,48,21,0,0,0,170,46,40,53.5,Italy
Bruno Peres,br BRA,DF,Roma,27,1990,12.8,664,808,82.2,10978,3780,314,354,88.7,265,311,85.2,58,88,65.9,0,1.1,1.2,-1.1,15,46,16,9,55,26,43.5,16,7,3,10,23,13,9,2,7,22,48,28,1,Matches,808,666,141,12,0,9,58,123,6,0,6,0,664,1,25,1,0,0,15,11,0,58,22,17,0,0,0,92,8,11,42.1,Italy
Bruno Petković,hr CRO,"FW,MF",Bologna,22,1994,3.7,88,117,75.2,1368,297,45,60,75.0,31,35,88.6,7,10,70.0,1,0.9,0.4,+0.1,4,5,4,0,13,7,100.0,0,5,2,1,1,0,3,0,3,4,11,5,0,Matches,117,113,4,0,1,1,3,0,0,0,0,0,88,0,6,3,0,0,5,16,2,3,4,6,0,0,0,15,5,8,38.5,Italy
Bruno Petković,hr CRO,FW,Hellas Verona,22,1994,10.2,173,267,64.8,2328,494,103,143,72.0,39,65,60.0,12,17,70.6,2,1.5,0.9,+0.5,12,14,11,1,25,14,46.2,3,8,3,6,13,7,11,1,10,7,21,12,0,Matches,267,247,17,0,1,3,6,3,0,0,0,0,173,3,11,1,0,0,18,21,3,6,7,12,0,0,0,43,43,52,45.3,Italy
Bruno Zuculini,ar ARG,MF,Hellas Verona,24,1993,13.5,518,635,81.6,9247,3037,236,275,85.8,204,241,84.6,67,95,70.5,0,0.0,0.1,0.0,2,45,1,0,58,68,41.7,37,28,3,20,48,28,35,8,27,38,106,31,0,Matches,635,615,19,15,0,6,2,2,0,0,0,0,518,1,7,8,3,2,41,8,0,2,38,49,0,1,0,78,23,32,41.8,Italy
Bryan Cristante,it ITA,MF,Atalanta,22,1995,31.4,1233,1622,76.0,19540,6260,620,751,82.6,491,614,80.0,77,144,53.5,2,4.9,4.5,-2.9,47,165,40,1,212,66,30.5,21,32,13,18,59,41,43,6,37,23,89,27,0,Matches,1622,1589,26,19,3,13,27,6,0,0,0,0,1233,7,41,4,0,0,57,15,5,27,23,50,1,0,0,200,96,86,52.7,Italy
Bryan Dabo,bf BFA,MF,Fiorentina,25,1992,6.6,253,331,76.4,3738,1000,140,162,86.4,90,119,75.6,13,28,46.4,0,0.1,0.2,-0.1,4,18,2,0,31,17,40.0,6,10,1,6,15,9,13,1,12,15,32,24,1,Matches,331,314,16,9,1,1,4,6,0,0,0,0,253,1,8,3,1,1,12,8,0,4,15,11,0,0,0,58,14,5,73.7,Italy
Carlo Pinsoglio,it ITA,GK,Juventus,27,1990,0.3,4,5,80.0,98,70,0,0,,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Italy
Carlos Sánchez,co COL,"MF,DF",Fiorentina,31,1986,4.1,210,252,83.3,3780,1079,87,96,90.6,97,111,87.4,21,35,60.0,0,0.0,0.1,0.0,0,13,0,0,21,7,66.7,2,5,0,4,6,2,3,1,2,8,15,10,0,Matches,252,245,6,5,1,1,0,0,0,0,0,0,210,1,3,2,0,0,6,1,0,0,8,6,0,0,0,33,4,11,26.7,Italy
