Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Saša Lukić,rs SRB,MF,Levante,20,1996,11.0,289,345,83.8,4541,1376,138,157,87.9,118,132,89.4,17,30,56.7,1,1.6,1.2,-0.6,9,23,5,1,32,21,31.3,9,8,4,5,16,11,14,6,8,17,38,13,0,Matches,345,333,10,10,2,1,5,0,0,0,0,0,289,2,5,4,0,0,24,15,0,5,17,16,0,1,0,60,12,13,48.0,Spain
Sergi Darder,es ESP,MF,Espanyol,23,1993,30.9,1213,1506,80.5,21560,7141,574,646,88.9,448,539,83.1,154,235,65.5,2,2.4,2.5,-0.4,28,162,15,3,191,64,30.6,29,28,7,19,62,43,31,5,26,52,116,48,1,Matches,1506,1415,83,54,7,26,46,6,23,6,14,0,1213,8,27,7,0,0,36,31,0,46,52,43,0,0,0,187,16,21,43.2,Spain
Sergi Enrich,es ESP,FW,Eibar,27,1990,14.8,289,430,67.2,3759,477,194,275,70.5,58,86,67.4,16,25,64.0,1,1.7,1.0,-0.7,15,17,1,0,21,11,25.0,3,3,5,2,8,6,13,1,12,6,17,8,0,Matches,430,400,29,1,0,3,5,4,0,0,0,0,289,1,8,2,0,0,20,28,20,5,6,8,2,0,1,58,64,81,44.1,Spain
Sergi Gómez,es ESP,DF,Celta Vigo,25,1992,29.8,1460,1661,87.9,31163,10148,381,422,90.3,850,897,94.8,224,314,71.3,0,0.8,0.4,-0.8,5,68,3,1,102,52,58.8,38,13,1,20,34,14,32,22,10,56,108,118,1,Matches,1661,1603,55,50,1,19,3,5,0,0,0,0,1460,3,14,3,0,0,14,6,2,3,56,37,0,0,1,136,63,34,64.9,Spain
Sergi Roberto,es ESP,DF,Barcelona,25,1992,24.7,1634,1832,89.2,23188,6591,1001,1053,95.1,478,545,87.7,89,121,73.6,7,3.8,3.9,+3.2,23,119,31,4,139,63,51.0,30,25,8,25,49,24,18,8,10,39,102,30,1,Matches,1832,1638,190,14,3,8,35,176,0,0,0,0,1634,4,23,3,2,0,16,26,1,35,39,40,0,0,0,150,14,23,37.8,Spain
Sergi Samper,es ESP,MF,Las Palmas,22,1995,1.6,69,84,82.1,1088,231,33,38,86.8,28,33,84.8,4,8,50.0,0,0.0,0.0,0.0,0,2,0,0,4,10,66.7,4,6,0,2,3,1,0,0,0,0,10,0,0,Matches,84,82,2,2,0,0,2,0,0,0,0,0,69,0,1,0,0,0,2,2,0,2,0,4,0,0,0,11,1,0,100.0,Spain
Sergio Araujo,ar ARG,"MF,FW",Las Palmas,25,1992,0.4,20,21,95.2,253,39,15,15,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0,3,100.0,0,0,3,1,1,0,0,0,0,0,3,0,0,Matches,21,19,2,0,0,0,0,1,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0.0,Spain
Sergio Arribas,es ESP,MF,Leganés,22,1995,0.3,9,10,90.0,90,3,7,7,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,100.0,2,0,0,2,2,0,0,0,0,1,3,0,0,Matches,10,10,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0.0,Spain
Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23.0,406,657,61.8,13406,10597,50,50,100.0,163,168,97.0,191,434,44.0,0,0.0,0.0,0.0,0,6,0,0,0,2,20.0,2,0,0,1,5,4,0,0,0,0,2,11,2,Matches,657,390,264,64,0,1,0,0,0,0,0,0,406,3,0,3,0,0,2,3,0,0,0,2,0,1,0,32,7,1,87.5,Spain
Sergio Busquets,es ESP,MF,Barcelona,29,1988,28.8,2031,2249,90.3,35903,11780,848,929,91.3,869,933,93.1,230,266,86.5,4,2.0,1.9,+2.0,24,209,10,0,203,88,49.4,27,46,15,39,79,40,37,10,27,51,139,15,1,Matches,2249,2152,91,89,5,27,0,2,0,0,0,0,2031,6,17,8,0,0,36,58,0,0,51,48,1,0,0,211,51,27,65.4,Spain
