Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Júnior Alonso,py PAR,DF,Lille,24,1993,30.9,1523,1884,80.8,31258,13482,455,503,90.5,821,935,87.8,217,383,56.7,1,0.5,0.6,+0.5,11,84,5,2,114,58,56.0,36,22,0,28,50,22,26,16,10,56,114,153,1,Matches,1884,1798,82,53,2,19,7,29,0,0,0,0,1523,4,17,3,0,0,34,9,0,7,56,31,0,0,1,219,91,43,67.9,France
Kader Mangane,sn SEN,DF,Strasbourg,34,1983,19.1,507,672,75.4,11645,5347,124,149,83.2,265,312,84.9,112,194,57.7,1,0.6,0.5,+0.4,3,33,8,1,41,37,52.4,29,8,0,11,21,10,28,18,10,24,61,120,4,Matches,672,647,23,23,2,13,1,0,0,0,0,0,507,2,4,4,0,0,26,7,2,1,24,24,1,0,0,89,46,35,56.8,France
Kalifa Coulibaly,ml MLI,FW,Nantes,25,1991,3.8,53,92,57.6,694,250,26,40,65.0,11,27,40.7,5,10,50.0,0,0.7,0.8,-0.7,5,5,6,2,11,6,50.0,3,1,2,2,4,2,0,0,0,0,6,6,0,Matches,92,90,2,0,0,0,4,1,0,0,0,0,53,0,3,0,0,0,8,2,3,4,0,6,0,0,0,7,25,24,51.0,France
Kamil Glik,pl POL,DF,Monaco,29,1988,36.0,1365,1689,80.8,28576,11346,379,418,90.7,771,869,88.7,204,374,54.5,3,1.5,0.7,+1.5,8,71,3,0,94,36,51.7,22,12,2,15,29,14,28,18,10,54,90,279,2,Matches,1689,1631,51,48,1,20,0,3,0,0,0,0,1365,7,5,8,0,0,41,32,2,0,54,23,1,1,0,140,89,58,60.5,France
Karim Azamoum,fr FRA,MF,Troyes,27,1990,25.0,654,955,68.5,10101,2986,337,435,77.5,216,291,74.2,51,117,43.6,0,1.8,1.6,-1.8,21,69,9,3,80,84,39.7,41,37,6,27,68,41,30,11,19,26,110,61,3,Matches,955,894,56,28,1,7,64,1,27,9,11,0,654,5,35,5,1,0,58,17,0,64,26,57,0,1,0,133,71,59,54.6,France
Karl Toko Ekambi,cm CMR,"FW,MF",Angers,24,1992,33.8,720,953,75.6,10382,1690,416,515,80.8,197,257,76.7,50,65,76.9,6,5.8,3.3,+0.2,47,37,30,5,76,17,17.2,2,5,10,5,29,24,13,0,13,15,32,2,0,Matches,953,898,55,1,8,9,39,17,0,0,0,0,720,0,35,4,0,0,31,35,28,39,15,8,2,0,0,89,28,78,26.4,France
Karl-Johan Johnsson,se SWE,GK,Guingamp,27,1990,38.0,749,1178,63.6,28129,22176,49,49,100.0,264,267,98.9,433,856,50.6,0,0.1,0.1,-0.1,2,22,2,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,14,4,Matches,1178,743,432,124,0,9,0,0,0,0,0,0,749,3,0,0,0,0,0,6,0,0,0,0,0,0,0,38,9,1,90.0,France
Keagan Dolly,za RSA,"MF,FW",Montpellier,24,1993,9.8,340,446,76.2,5199,1619,192,220,87.3,105,133,78.9,27,54,50.0,2,1.6,1.5,+0.4,28,30,11,6,46,12,9.1,2,7,3,1,11,10,11,0,11,1,13,2,0,Matches,446,380,64,8,0,3,64,17,35,3,25,0,340,2,15,1,0,0,3,2,2,64,1,7,0,0,0,49,6,12,33.3,France
Keita Baldé,sn SEN,"FW,MF",Monaco,22,1995,16.4,278,392,70.9,3730,777,168,214,78.5,84,110,76.4,9,23,39.1,5,2.3,1.3,+2.7,15,16,13,6,32,12,9.1,5,6,1,1,11,10,10,1,9,6,18,5,0,Matches,392,380,10,2,2,1,39,4,0,0,0,0,278,2,23,3,1,1,23,27,14,39,6,8,0,0,0,72,15,28,34.9,France
Kelvin Amian,fr FRA,DF,Toulouse,19,1998,35.0,1013,1303,77.7,17327,7505,503,568,88.6,387,474,81.6,103,196,52.6,1,1.1,1.3,-0.1,11,86,16,9,107,59,71.0,45,10,4,22,31,9,25,7,18,45,104,127,1,Matches,1303,977,321,40,1,8,43,281,0,0,0,0,1013,5,34,3,1,0,28,15,0,43,45,43,0,1,0,155,36,38,48.6,France
